NAME	Id	FPL	layer	theta	x_pos	y_pos	z_pos	toff	tcal	qped	qcal	adc_geo	adc_ch	tdc_geo	tdc_ch
NaI84	84	8	9	45.72	-25.78	18.65	31.03	-376.5	0.0977	-369.761	3.15406	12	20	6	84
NaI85	85	8	9	45.88	-15.3	28.11	31.03	-378.8	0.0977	-548.332	3.8025	12	21	6	85
NaI86	86	8	9	45.75	-1.45	31.85	31.06	-380.8	0.0977	-302.342	3.17977	12	22	6	86
NaI87	87	8	9	45.85	12.46	29.46	31.05	-376.2	0.0977	-312.852	3.28359	12	23	6	87
NaI88	88	8	9	45.62	23.86	20.97	31.08	-376.8	0.0977	-392.549	3.23193	12	24	6	88
NaI89	89	8	9	45.73	30.73	8.49	31.08	-376.7	0.0977	-281.496	3.26384	12	25	6	89
NaI90	90	8	9	45.72	31.32	-5.76	31.05	-377.8	0.0977	-347.394	3.30186	12	26	6	90
NaI91	91	8	9	45.66	25.78	-18.59	31.06	-375.9	0.0977	-419.85	3.16244	12	27	6	91
NaI92	92	8	9	45.72	15.3	-27.94	31.07	-378.3	0.0977	-250.731	3.10414	12	28	6	92
NaI93	93	8	9	45.62	1.52	-31.76	31.12	-374.3	0.0977	-351.26	3.31357	12	29	6	93
NaI94	94	8	10	39.11	-17.11	-24.31	36.56	-374.6	0.0977	-402.051	3.334	12	30	6	94
NaI95	95	8	10	39.04	-25.94	-14.33	36.55	-376.3	0.0977	-358.902	3.22175	12	31	6	95
NaI96	96	8	10	39.14	-29.66	-1.75	36.51	-378.6	0.0977	-407.239	3.14243	13	0	6	96
NaI97	97	8	10	39.17	-27.56	11.24	36.54	-378.8	0.0977	-307.033	3.19889	13	1	6	97
NaI98	98	8	10	39.06	-19.83	22.06	36.55	-379.3	0.0977	-308.73	3.31978	13	2	6	98
NaI99	99	8	10	39.2	-8.28	28.61	36.51	-378	0.0977	-370.802	3.29772	13	3	6	99
NaI100	100	8	10	39.22	4.91	29.41	36.53	-379.2	0.0977	-381.382	3.16372	13	4	6	100
NaI101	101	8	10	39.14	17.13	24.34	36.57	-376.8	0.0977	-324.203	3.30821	13	5	6	101
NaI102	102	8	10	39.03	25.92	14.38	36.56	-377.3	0.0977	-358.525	3.16511	13	6	6	102
NaI103	103	8	10	39.12	29.68	1.72	36.55	-378.3	0.0977	-271.549	3.18836	13	7	6	103
NaI104	104	8	10	39.07	27.39	-11.35	36.52	-377.9	0.0977	-332.577	3.1607	13	8	6	104
NaI105	105	8	10	39.25	20.12	-22.09	36.58	-379.3	0.0977	-270.034	3.24356	13	9	6	105
NaI106	106	8	10	39.16	8.47	-28.53	36.54	-374	0.0977	-346.077	3.22648	13	10	6	106
NaI107	107	8	10	38.97	-4.78	-29.22	36.59	-377.6	0.0977	-236.026	3.07528	13	11	6	107
