ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
47,217,13,3,2,56.6,0,14025.2,0.0976599,0,0,0.0391515,104.249,0.09766,0,0,0.0391515,133.809,7.34978,-0.0663779,0,42,12,1,42,12,17,24,1,24,17,0,0,0,0
48,218,13,3,2,179,0,14025.2,0.0976599,0,0,0.0400369,121.326,0.0976598,0,0,0.0400369,113.151,7.23392,-1.2518,0,42,12,2,42,12,18,24,2,24,18,0,0,0,0
49,219,13,3,2,301.4,0,14025.2,0.0976594,0,0,0.0403848,111.436,0.09766,0,0,0.0403848,109.782,7.24124,4.29052,0,42,12,3,42,12,19,24,3,24,19,0,0,0,0
50,220,13,3,2,423.8,0,14025.2,0.0976595,0,0,0.0422331,146.179,0.09766,0,0,0.0422331,118.662,7.27251,5.59651,0,42,12,4,42,12,20,24,4,24,20,0,0,0,0
51,221,13,3,2,546.2,0,14025.2,0.0976599,0,0,0.0416984,135.613,0.0976606,0,0,0.0416984,116.723,7.31712,1.02653,0,42,12,5,42,12,21,24,5,24,21,0,0,0,0
52,222,13,3,2,668.6,0,14025.2,0.0976594,0,0,0.043112,138.37,0.09766,0,0,0.043112,119.74,7.3003,3.75719,0,42,12,6,42,12,22,24,6,24,22,0,0,0,0
53,223,13,3,2,791,0,14025.2,0.0976594,0,0,0.0420623,133.447,0.0976606,0,0,0.0420623,125.194,7.28967,2.90413,0,42,12,7,42,12,23,24,7,24,23,0,0,0,0
54,224,13,3,2,913.4,0,14025.2,0.0976599,0,0,0.0409804,132.892,0.0976604,0,0,0.0409804,111.136,7.2903,0.482187,0,42,12,8,42,12,24,24,8,24,24,0,0,0,0
55,225,13,3,2,1035.8,0,14025.2,0.0976595,0,0,0.0412292,117.403,0.0976595,0,0,0.0412292,117.464,7.15134,-5.77133,0,42,12,9,42,12,25,24,9,24,25,0,0,0,0
56,226,13,3,2,1158.2,0,14025.2,0.0976596,0,0,0.0401461,126.616,0.0976609,0,0,0.0401461,130.654,7.29883,-4.31558,0,42,12,10,42,12,26,24,10,24,26,0,0,0,0
57,227,13,3,2,1280.6,0,14025.2,0.0976598,0,0,0.0460975,116.713,0.09766,0,0,0.0460975,114.523,7.2779,-11.6067,0,42,12,11,42,12,27,24,11,24,27,0,0,0,0
