NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
217,13,1,2,56.6,0,14025.2,0.0653919,0,40.973,0.0472125,104.808,0.0659672,0,40,0.0496431,155.971,76.6697,-414.545,381.186,13,17,23,17,14,17,24,17,0
218,13,1,2,179,0,14025.2,0.0659192,0,39.973,0.0477331,111.436,0.0661616,0,41,0.048827,147.068,76.7255,-551.989,381.982,13,18,23,18,14,18,24,18,0
219,13,1,2,301.4,0,14025.2,0.0652656,0,40,0.0518812,159.09,0.06611,0,40,0.0472658,181.528,76.5966,-481.703,383.285,13,19,23,19,14,19,24,19,0
220,13,1,2,423.8,0,14025.2,0.0650937,0,40,0.0509975,219.45,0.0658944,0,40,0.0497836,146.342,77.3887,-437.298,384.397,13,20,23,20,14,20,24,20,0
221,13,1,2,546.2,0,14025.2,0.0650129,0,38.8,0.0496101,178.675,0.0663593,0,40,0.050727,189.259,76.2585,-140.355,383.171,13,21,23,21,14,21,24,21,0
222,13,1,2,668.6,0,14025.2,0.0643258,0,41,0.0512379,271.616,0.0645824,0,41,0.0469629,254.563,76.3649,-49.3396,382.82,13,22,23,22,14,22,24,22,0
223,13,1,2,791,0,14025.2,0.0663639,0,41,0.0501661,198.143,0.0670594,0,40,0.0493165,205.702,76.4884,-322.66,385.386,13,23,23,23,14,23,24,23,0
224,13,1,2,913.4,0,14025.2,0.0652203,0,39.973,0.0485886,174.818,0.0671608,0,39.4,0.0486766,120.1,76.396,-567.457,385.14,13,24,23,24,14,24,24,24,0
225,13,1,2,1035.8,0,14025.2,0.0648597,0,40.763,0.0493988,125.232,0.0655267,0,39.4,0.0461797,205.453,76.5166,-219.215,382.809,13,25,23,25,14,25,24,25,0
226,13,1,2,1158.2,0,14025.2,0.0650314,0,40,0.0501635,169.819,0.0648457,0,40,0.0475137,232.625,76.7221,-633.213,387.182,13,26,23,26,14,26,24,26,0
227,13,1,2,1280.6,0,14025.2,0.0637325,0,41,0.0572122,161.908,0.0667966,0,40,0.0480501,196.353,76.2642,-435.756,387.221,13,27,23,27,14,27,24,27,0
228,13,1,2,1403,0,14025.2,0.0644262,0,40.973,0.0516487,217.158,0.0664099,0,39.7,0.0514238,216.159,76.5087,-447.426,384.931,13,28,23,28,14,28,24,28,0
229,13,1,2,1525.4,0,14025.2,0.0667075,0,40,0.0474693,198.219,0.0657238,0,41,0.0418495,86.6917,76.4754,-523.336,385.978,13,29,23,29,14,29,24,29,0
230,13,1,2,1647.8,0,14025.2,0.064416,0,40.09,0.0475033,290.706,0.0663265,0,41.1,0.0517328,190.138,76.4485,-440.595,386.212,13,30,23,30,14,30,24,30,0
301,13,2,1,-1901.8,0,14741.2,0.0645169,0,41,0.0502963,262.582,0.0650756,0,40,0.0499594,183.249,74.5339,466.003,412.965,15,0,25,0,16,0,26,0,0
302,13,2,1,-1779.4,0,14741.2,0.0653389,0,40.736,0.0491265,320.375,0.0656644,0,40,0.0461808,175.021,74.3449,-92.2778,414.568,15,1,25,1,16,1,26,1,0
303,13,2,1,-1657,0,14741.2,0.0641315,0,40.973,0.0486358,260.98,0.0671766,0,41,0.0481211,109.219,74.6466,-45.9183,411.495,15,2,25,2,16,2,26,2,0
304,13,2,1,-1534.6,0,14741.2,0.0646731,0,39.79,0.0503183,113.888,0.0658601,0,40.09,0.0496042,136.37,74.2137,296.564,413.844,15,3,25,3,16,3,26,3,0
305,13,2,1,-1412.2,0,14741.2,0.0650421,0,40.09,0.0484591,226.054,0.0658324,0,41,0.0481908,199.219,75.2543,312.241,413.078,15,4,25,4,16,4,26,4,0
306,13,2,1,-1289.8,0,14741.2,0.0653136,0,40.7,0.0503449,171.69,0.06616,0,41,0.0493242,193.94,74.7159,-192.974,414.367,15,5,25,5,16,5,26,5,0
307,13,2,1,-1167.4,0,14741.2,0.0647867,0,40.79,0.0505871,253.338,0.0651372,0,39.7,0.0493029,148.507,74.4316,227.935,410.084,15,6,25,6,16,6,26,6,0
308,13,2,1,-1045,0,14741.2,0.0643228,0,40.7,0.0503629,248.022,0.0656238,0,41,0.0488583,194.07,74.7478,74.8292,413.134,15,7,25,7,16,7,26,7,0
309,13,2,1,-922.6,0,14741.2,0.0639898,0,46.063,0.0500489,223.779,0.0659202,0,40,0.0508263,139.86,74.6372,57.6963,413.349,15,8,25,8,16,8,26,8,0
310,13,2,1,-800.2,0,14741.2,0.0645503,0,40.763,0.0491538,238.638,0.0655753,0,40.7,0.0474481,190.31,74.6454,-33.0839,413.852,15,9,25,9,16,9,26,9,0
311,13,2,1,-677.8,0,14741.2,0.0646539,0,40.973,0.048103,300.825,0.0651115,0,40,0.0500109,182.268,74.5218,45.5329,410.542,15,10,25,10,16,10,26,10,0
312,13,2,1,-555.4,0,14741.2,0.0651407,0,41,0.0485435,289.129,0.0662715,0,40,0.047111,211.018,73.8629,-20.3934,415.145,15,11,25,11,16,11,26,11,0
313,13,2,1,-433,0,14741.2,0.064898,0,41.063,0.0481711,297.295,0.0653657,0,41,0.0470098,149.816,74.9745,30.6285,413.161,15,12,25,12,16,12,26,12,0
314,13,2,1,-310.6,0,14741.2,0.0659793,0,41,0.0472769,319.437,0.0655871,0,40,0.0467458,252.126,74.7729,85.2988,412.109,15,13,25,13,16,13,26,13,0
315,13,2,1,-188.2,0,14741.2,0.0642936,0,42.09,0.0490321,360.78,0.0654644,0,40,0.049102,191.382,74.3672,-33.3858,411.65,15,14,25,14,16,14,26,14,0
316,13,2,1,-65.8,0,14741.2,0.0654185,0,39.673,0.047561,198.667,0.0659249,0,40.7,0.0496316,64.4931,74.2689,93.6453,414.362,15,16,25,16,16,16,26,16,0
317,13,2,1,56.6,0,14741.2,0.0665613,0,41.063,0.0462758,176.701,0.0668458,0,41,0.0478471,36.9061,74.9641,-77.8557,415.32,15,17,25,17,16,17,26,17,0
318,13,2,1,179,0,14741.2,0.0646296,0,40.7,0.0483284,218.237,0.065269,0,40,0.0470097,71.6744,74.8752,-86.1301,415.789,15,18,25,18,16,18,26,18,0
319,13,2,1,301.4,0,14741.2,0.0653476,0,40.2,0.0485581,154.054,0.0656158,0,41,0.0465784,84.0775,73.9574,254.738,415.907,15,19,25,19,16,19,26,19,0
320,13,2,1,423.8,0,14741.2,0.0658026,0,40.973,0.0510518,135.476,0.0659533,0,40,0.049053,149.161,74.9091,32.63,416.105,15,20,25,20,16,20,26,20,0
321,13,2,1,546.2,0,14741.2,0.0662546,0,40,0.0476443,134.837,0.0656642,0,40.09,0.0467469,191.89,75.4329,197.733,417.151,15,21,25,21,16,21,26,21,0
322,13,2,1,668.6,0,14741.2,0.0660597,0,40.763,0.0483976,248.648,0.0650458,0,40,0.0469853,177.723,74.892,-36.6268,415.215,15,22,25,22,16,22,26,22,0
323,13,2,1,791,0,14741.2,0.0657789,0,40,0.0504495,238.79,0.0650836,0,40,0.0488943,137.435,75.0275,220.77,416.81,15,23,25,23,16,23,26,23,0
324,13,2,1,913.4,0,14741.2,0.0660035,0,40,0.0496229,156.476,0.0657693,0,39.1,0.0483807,146.399,75.1441,-32.1236,416.01,15,24,25,24,16,24,26,24,0
325,13,2,1,1035.8,0,14741.2,0.0659283,0,40,0.0480098,155.676,0.0674862,0,41,0.0465314,115.426,74.5654,-37.3169,418.969,15,25,25,25,16,25,26,25,0
326,13,2,1,1158.2,0,14741.2,0.0646098,0,39.8,0.0488296,211.282,0.065415,0,39.1,0.0479079,145.975,74.6481,-133.87,416.664,15,26,25,26,16,26,26,26,0
327,13,2,1,1280.6,0,14741.2,0.0651701,0,40.673,0.0468858,292.844,0.0649099,0,40,0.0471557,167.099,75.2234,-2.8439,419.005,15,27,25,27,16,27,26,27,0
