NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,det,geo,ch
FDC3K_5_9,13,5,90,Y,9,-160,-880,30,7,73
FDC3K_5_10,13,5,90,Y,10,-9999,-9999,30,7,74
FDC3K_5_11,13,5,90,Y,11,-9999,-9999,30,7,75
FDC3K_5_12,13,5,90,Y,12,-9999,-9999,30,7,76
FDC3K_5_13,13,5,90,Y,13,-9999,-9999,30,7,77
FDC3K_5_14,13,5,90,Y,14,-9999,-9999,30,7,78
FDC3K_5_15,13,5,90,Y,15,-9999,-9999,30,7,79
FDC3K_6_0,13,6,91,X,0,-9999,-9999,30,7,80
FDC3K_6_1,13,6,91,X,1,260,-830,30,7,81
FDC3K_6_2,13,6,91,X,2,220,-830,30,7,82
FDC3K_6_3,13,6,91,X,3,180,-830,30,7,83
FDC3K_6_4,13,6,91,X,4,140,-830,30,7,84
FDC3K_6_5,13,6,91,X,5,100,-830,30,7,85
FDC3K_6_6,13,6,91,X,6,60,-830,30,7,86
FDC3K_6_7,13,6,91,X,7,20,-830,30,7,87
FDC3K_6_8,13,6,91,X,8,-20,-830,30,7,88
FDC3K_6_9,13,6,91,X,9,-60,-830,30,7,89
FDC3K_6_10,13,6,91,X,10,-100,-830,30,7,90
FDC3K_6_11,13,6,91,X,11,-140,-830,30,7,91
FDC3K_6_12,13,6,91,X,12,-180,-830,30,7,92
FDC3K_6_13,13,6,91,X,13,-220,-830,30,7,93
FDC3K_6_14,13,6,91,X,14,-260,-830,30,7,94
FDC3K_6_15,13,6,91,X,15,-9999,-9999,30,7,95
FDC3K_7_0,13,7,92,Y,0,180,-780,30,7,96
FDC3K_7_1,13,7,92,Y,1,140,-780,30,7,97
FDC3K_7_2,13,7,92,Y,2,100,-780,30,7,98
FDC3K_7_3,13,7,92,Y,3,60,-780,30,7,99
FDC3K_7_4,13,7,92,Y,4,20,-780,30,7,100
FDC3K_7_5,13,7,92,Y,5,-20,-780,30,7,101
FDC3K_7_6,13,7,92,Y,6,-60,-780,30,7,102
FDC3K_7_7,13,7,92,Y,7,-100,-780,30,7,103
FDC3K_7_8,13,7,92,Y,8,-140,-780,30,7,104
FDC3K_7_9,13,7,92,Y,9,-180,-780,30,7,105
FDC3K_7_10,13,7,92,Y,10,-9999,-9999,30,7,106
FDC3K_7_11,13,7,92,Y,11,-9999,-9999,30,7,107
FDC3K_7_12,13,7,92,Y,12,-9999,-9999,30,7,108
FDC3K_7_13,13,7,92,Y,13,-9999,-9999,30,7,109
FDC3K_7_14,13,7,92,Y,14,-9999,-9999,30,7,110
FDC3K_7_15,13,7,92,Y,15,-9999,-9999,30,7,111
FDC3K_8_0,13,8,93,X,0,280,-730,30,7,112
FDC3K_8_1,13,8,93,X,1,240,-730,30,7,113
FDC3K_8_2,13,8,93,X,2,200,-730,30,7,114
FDC3K_8_3,13,8,93,X,3,160,-730,30,7,115
FDC3K_8_4,13,8,93,X,4,120,-730,30,7,116
FDC3K_8_5,13,8,93,X,5,80,-730,30,7,117
FDC3K_8_6,13,8,93,X,6,40,-730,30,7,118
FDC3K_8_7,13,8,93,X,7,0,-730,30,7,119
FDC3K_8_8,13,8,93,X,8,-40,-730,30,7,120
FDC3K_8_9,13,8,93,X,9,-80,-730,30,7,121
FDC3K_8_10,13,8,93,X,10,-120,-730,30,7,122
FDC3K_8_11,13,8,93,X,11,-160,-730,30,7,123
FDC3K_8_12,13,8,93,X,12,-200,-730,30,7,124
FDC3K_8_13,13,8,93,X,13,-240,-730,30,7,125
FDC3K_8_14,13,8,93,X,14,-280,-730,30,7,126
FDC3K_8_15,13,8,93,X,15,-9999,-9999,30,7,127
