NAME,plane,bar,t_type,channel,ns
NEULAND_TCAL,1,2,2,3178.000000,23.441200
NEULAND_TCAL,1,2,2,3232.000000,24.084101
NEULAND_TCAL,1,2,2,3258.000000,24.428101
NEULAND_TCAL,1,2,2,3269.000000,24.601101
NEULAND_TCAL,1,2,2,3276.000000,24.750799
NEULAND_TCAL,1,2,2,3279.000000,24.847799
NEULAND_TCAL,1,2,2,3280.000000,24.896601
NEULAND_TCAL,1,2,2,3281.000000,24.969601
NEULAND_TCAL,1,2,2,3282.000000,24.998199
NEULAND_TCAL,1,2,5,1194.000000,0.000000
NEULAND_TCAL,1,2,5,1198.000000,0.023600
NEULAND_TCAL,1,2,5,1288.000000,1.095200
NEULAND_TCAL,1,2,5,1349.000000,1.818900
NEULAND_TCAL,1,2,5,1384.000000,2.236000
NEULAND_TCAL,1,2,5,1440.000000,2.878800
NEULAND_TCAL,1,2,5,1507.000000,3.674000
NEULAND_TCAL,1,2,5,1556.000000,4.258900
NEULAND_TCAL,1,2,5,1645.000000,5.301600
NEULAND_TCAL,1,2,5,1770.000000,6.793900
NEULAND_TCAL,1,2,5,1807.000000,7.223400
NEULAND_TCAL,1,2,5,1889.000000,8.200700
NEULAND_TCAL,1,2,5,1980.000000,9.271300
NEULAND_TCAL,1,2,5,2031.000000,9.878900
NEULAND_TCAL,1,2,5,2057.000000,10.204600
NEULAND_TCAL,1,2,5,2149.000000,11.288700
NEULAND_TCAL,1,2,5,2248.000000,12.465800
NEULAND_TCAL,1,2,5,2278.000000,12.833900
NEULAND_TCAL,1,2,5,2359.000000,13.805000
NEULAND_TCAL,1,2,5,2436.000000,14.725700
NEULAND_TCAL,1,2,5,2524.000000,15.771700
NEULAND_TCAL,1,2,5,2677.000000,17.600100
NEULAND_TCAL,1,2,5,2733.000000,18.242300
NEULAND_TCAL,1,2,5,2834.000000,19.411800
NEULAND_TCAL,1,2,5,2887.000000,20.032900
NEULAND_TCAL,1,2,5,3004.000000,21.414301
NEULAND_TCAL,1,2,5,3084.000000,22.363899
NEULAND_TCAL,1,2,5,3207.000000,23.781000
NEULAND_TCAL,1,2,5,3238.000000,24.166901
NEULAND_TCAL,1,2,5,3259.000000,24.470699
NEULAND_TCAL,1,2,5,3269.000000,24.654100
NEULAND_TCAL,1,2,5,3274.000000,24.782600
NEULAND_TCAL,1,2,5,3276.000000,24.862900
NEULAND_TCAL,1,2,5,3278.000000,24.983400
NEULAND_TCAL,1,2,5,3279.000000,24.998199
NEULAND_TCAL,1,2,6,1162.000000,0.000000
NEULAND_TCAL,1,2,6,1167.000000,0.041100
NEULAND_TCAL,1,2,6,1216.000000,0.598500
NEULAND_TCAL,1,2,6,1406.000000,2.820300
NEULAND_TCAL,1,2,6,1427.000000,3.058300
NEULAND_TCAL,1,2,6,1474.000000,3.613900
NEULAND_TCAL,1,2,6,1525.000000,4.198800
NEULAND_TCAL,1,2,6,1574.000000,4.765000
NEULAND_TCAL,1,2,6,1639.000000,5.526300
NEULAND_TCAL,1,2,6,1713.000000,6.407400
NEULAND_TCAL,1,2,6,1758.000000,6.924600
NEULAND_TCAL,1,2,6,1901.000000,8.589300
NEULAND_TCAL,1,2,6,1928.000000,8.895400
NEULAND_TCAL,1,2,6,2037.000000,10.162000
NEULAND_TCAL,1,2,6,2116.000000,11.091800
NEULAND_TCAL,1,2,6,2168.000000,11.719500
NEULAND_TCAL,1,2,6,2238.000000,12.528000
NEULAND_TCAL,1,2,6,2284.000000,13.058600
NEULAND_TCAL,1,2,6,2385.000000,14.255700
NEULAND_TCAL,1,2,6,2492.000000,15.535200
NEULAND_TCAL,1,2,6,2523.000000,15.899100
NEULAND_TCAL,1,2,6,2584.000000,16.614000
NEULAND_TCAL,1,2,6,2685.000000,17.759701
NEULAND_TCAL,1,2,6,2744.000000,18.448200
NEULAND_TCAL,1,2,6,2826.000000,19.398100
NEULAND_TCAL,1,2,6,2917.000000,20.434601
NEULAND_TCAL,1,2,6,3015.000000,21.549801
NEULAND_TCAL,1,2,6,3068.000000,22.171801
NEULAND_TCAL,1,2,6,3098.000000,22.522499
NEULAND_TCAL,1,2,6,3196.000000,23.648701
NEULAND_TCAL,1,2,6,3233.000000,24.094999
NEULAND_TCAL,1,2,6,3263.000000,24.508801
NEULAND_TCAL,1,2,6,3274.000000,24.733601
NEULAND_TCAL,1,2,6,3278.000000,24.859400
NEULAND_TCAL,1,2,6,3280.000000,24.982300
NEULAND_TCAL,1,2,6,3281.000000,24.998199
NEULAND_TCAL,1,3,1,1216.000000,0.000000
NEULAND_TCAL,1,3,1,1221.000000,0.036700
NEULAND_TCAL,1,3,1,1343.000000,1.496100
NEULAND_TCAL,1,3,1,1408.000000,2.248800
NEULAND_TCAL,1,3,1,1461.000000,2.880300
NEULAND_TCAL,1,3,1,1529.000000,3.708400
NEULAND_TCAL,1,3,1,1576.000000,4.269300
NEULAND_TCAL,1,3,1,1648.000000,5.149300
NEULAND_TCAL,1,3,1,1744.000000,6.301400
NEULAND_TCAL,1,3,1,1856.000000,7.624200
NEULAND_TCAL,1,3,1,1946.000000,8.722100
NEULAND_TCAL,1,3,1,2097.000000,10.554400
NEULAND_TCAL,1,3,1,2157.000000,11.279100
NEULAND_TCAL,1,3,1,2200.000000,11.785900
NEULAND_TCAL,1,3,1,2259.000000,12.481100
NEULAND_TCAL,1,3,1,2357.000000,13.693500
NEULAND_TCAL,1,3,1,2460.000000,14.957700
NEULAND_TCAL,1,3,1,2535.000000,15.892100
NEULAND_TCAL,1,3,1,2621.000000,16.899300
NEULAND_TCAL,1,3,1,2700.000000,17.824200
NEULAND_TCAL,1,3,1,2790.000000,18.907400
NEULAND_TCAL,1,3,1,2836.000000,19.462999
NEULAND_TCAL,1,3,1,2920.000000,20.471500
NEULAND_TCAL,1,3,1,3038.000000,21.860201
NEULAND_TCAL,1,3,1,3093.000000,22.491600
NEULAND_TCAL,1,3,1,3196.000000,23.731400
NEULAND_TCAL,1,3,1,3237.000000,24.258699
NEULAND_TCAL,1,3,1,3257.000000,24.575800
NEULAND_TCAL,1,3,1,3265.000000,24.743999
NEULAND_TCAL,1,3,1,3268.000000,24.848200
NEULAND_TCAL,1,3,1,3270.000000,24.983299
NEULAND_TCAL,1,3,1,3271.000000,24.998199
NEULAND_TCAL,1,3,2,1202.000000,0.000000
NEULAND_TCAL,1,3,2,1206.000000,0.026600
NEULAND_TCAL,1,3,2,1333.000000,1.512500
NEULAND_TCAL,1,3,2,1387.000000,2.140200
NEULAND_TCAL,1,3,2,1472.000000,3.177000
NEULAND_TCAL,1,3,2,1566.000000,4.295600
NEULAND_TCAL,1,3,2,1632.000000,5.088600
NEULAND_TCAL,1,3,2,1748.000000,6.452900
NEULAND_TCAL,1,3,2,1840.000000,7.520300
NEULAND_TCAL,1,3,2,1904.000000,8.288300
NEULAND_TCAL,1,3,2,1951.000000,8.851100
NEULAND_TCAL,1,3,2,2000.000000,9.445400
NEULAND_TCAL,1,3,2,2090.000000,10.533100
NEULAND_TCAL,1,3,2,2254.000000,12.462500
NEULAND_TCAL,1,3,2,2322.000000,13.302000
NEULAND_TCAL,1,3,2,2397.000000,14.200300
NEULAND_TCAL,1,3,2,2458.000000,14.953900
NEULAND_TCAL,1,3,2,2495.000000,15.398900
NEULAND_TCAL,1,3,2,2538.000000,15.915500
NEULAND_TCAL,1,3,2,2582.000000,16.429800
NEULAND_TCAL,1,3,2,2653.000000,17.240200
NEULAND_TCAL,1,3,2,2736.000000,18.228300
NEULAND_TCAL,1,3,2,2845.000000,19.521500
NEULAND_TCAL,1,3,2,2926.000000,20.505501
NEULAND_TCAL,1,3,2,2959.000000,20.878401
NEULAND_TCAL,1,3,2,3113.000000,22.673901
NEULAND_TCAL,1,3,2,3220.000000,23.935900
NEULAND_TCAL,1,3,2,3251.000000,24.368000
NEULAND_TCAL,1,3,2,3265.000000,24.594601
NEULAND_TCAL,1,3,2,3272.000000,24.765600
NEULAND_TCAL,1,3,2,3275.000000,24.879601
NEULAND_TCAL,1,3,2,3276.000000,24.953199
NEULAND_TCAL,1,3,2,3277.000000,24.995899
