NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ_SAMURAICenter_to_SCI,Target-SAMURAICenter,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
213,13,1,2,-433,0,9908,4228,14136,0.0655215,0,39.673,0.047547,169.068,0.0660902,0,41,0.0502584,226.214,77.0912,-29.5147,-16.219844,13,12,23,12,14,12,24,12,0
214,13,1,2,-310.6,0,9908,4228,14136,0.0651414,0,40.063,0.0490606,188.463,0.0651021,0,41.09,0.0489529,189.984,76.3689,-25.76,-15.88501,13,13,23,13,14,13,24,13,0
215,13,1,2,-188.2,0,9908,4228,14136,0.0650668,0,41.09,0.0520128,254.853,0.065766,0,42,0.0528276,269.97,76.5096,-221.567,-19.856227,13,14,23,14,14,14,24,14,0
216,13,1,2,-65.8,0,9908,4228,14136,0.0645319,0,40.4,0.0485452,175.865,0.0666716,0,41,0.0509966,198.381,76.0053,-169.714,-23.571,13,16,23,16,14,16,24,16,0
217,13,1,2,56.6,0,9908,4228,14136,0.0653975,0,40.973,0.0465904,141.674,0.0659699,0,40,0.050066,188.24,76.6697,-414.545,-23.08751,13,17,23,17,14,17,24,17,0
218,13,1,2,179,0,9908,4228,14136,0.0659273,0,39.973,0.048749,162.777,0.0661661,0,41,0.0488712,170.156,76.7255,-551.989,-22.620191,13,18,23,18,14,18,24,18,0
219,13,1,2,301.4,0,9908,4228,14136,0.0652745,0,40,0.0532202,195.215,0.0661104,0,40,0.0476039,212.887,76.5966,-481.703,-20.86948,13,19,23,19,14,19,24,19,0
220,13,1,2,423.8,0,9908,4228,14136,0.0651054,0,40,0.0531446,270.241,0.0659015,0,40,0.0491115,169.354,77.3887,-437.298,-20.203204,13,20,23,20,14,20,24,20,0
221,13,1,2,546.2,0,9908,4228,14136,0.0650219,0,38.8,0.0504048,214.279,0.0663688,0,40,0.0526979,220.675,76.2585,-140.355,-21.648694,13,21,23,21,14,21,24,21,0
222,13,1,2,668.6,0,9908,4228,14136,0.0643368,0,41,0.055836,320.177,0.0645984,0,41,0.0519143,276.075,76.3649,-49.3396,-22.02228,13,22,23,22,14,22,24,22,0
223,13,1,2,791,0,9908,4228,14136,0.0663789,0,41,0.0518742,231.367,0.0670411,0,40,0.0512047,234.876,76.4884,-322.66,-19.8921599,13,23,23,23,14,23,24,23,0
224,13,1,2,913.4,0,9908,4228,14136,0.0652282,0,39.973,0.0499537,222.61,0.0671592,0,39.4,0.0483583,140.046,76.396,-567.457,-20.2058172,13,24,23,24,14,24,24,24,0
225,13,1,2,1035.8,0,9908,4228,14136,0.064871,0,40.763,0.0494632,162.091,0.0655301,0,39.4,0.0490448,234.368,76.5166,-219.215,-22.888264,13,25,23,25,14,25,24,25,0
226,13,1,2,1158.2,0,9908,4228,14136,0.065041,0,40,0.0528769,213.592,0.0648671,0,40,0.0480761,251.316,76.7221,-633.213,-18.719146,13,26,23,26,14,26,24,26,0
227,13,1,2,1280.6,0,9908,4228,14136,0.0637412,0,41,0.0595138,199.998,0.0667966,0,40,0.0490774,223.65,76.2642,-435.756,-19.22716,13,27,23,27,14,27,24,27,0
228,13,1,2,1403,0,9908,4228,14136,0.0644352,0,40.973,0.0541332,258.307,0.0664146,0,39.7,0.0531796,236.081,76.5087,-447.426,-22.2491,13,28,23,28,14,28,24,28,0
229,13,1,2,1525.4,0,9908,4228,14136,0.0667169,0,40,0.0514409,237.595,0.0657193,0,41,0.0428051,113.963,76.4754,-523.336,-21.767,13,29,23,29,14,29,24,29,0
230,13,1,2,1647.8,0,9908,4228,14136,0.0644217,0,40.09,0.0538782,334.638,0.0663323,0,41.1,0.0536492,207.767,76.4485,-440.595,-21.45162,13,30,23,30,14,30,24,30,0
301,13,2,1,-1901.8,0,10642,4228,14870,0.0645208,0,41,0.0520522,245.394,0.0650876,0,40,0.0500513,193.431,74.5339,466.003,-15.63,15,0,25,0,16,0,26,0,0
302,13,2,1,-1779.4,0,10642,4228,14870,0.0653335,0,40.736,0.0531355,323.839,0.0656867,0,40,0.0464214,188.799,74.3449,-92.2778,-13.64213,15,1,25,1,16,1,26,1,0
303,13,2,1,-1657,0,10642,4228,14870,0.0641335,0,40.973,0.0504967,244.806,0.0671799,0,41,0.0473068,117.893,74.6466,-45.9183,-16.70659,15,2,25,2,16,2,26,2,0
304,13,2,1,-1534.6,0,10642,4228,14870,0.0646674,0,39.79,0.0501138,118.74,0.065867,0,40.09,0.0487503,149.456,74.2137,296.564,-12.540041,15,3,25,3,16,3,26,3,0
305,13,2,1,-1412.2,0,10642,4228,14870,0.0650466,0,40.09,0.0496298,210.298,0.0658439,0,41,0.0484581,205.438,75.2543,312.241,-14.31164,15,4,25,4,16,4,26,4,0
306,13,2,1,-1289.8,0,10642,4228,14870,0.0653215,0,40.7,0.0509661,176.575,0.0661794,0,41,0.0498254,206.439,74.7159,-192.974,-12.594402,15,5,25,5,16,5,26,5,0
307,13,2,1,-1167.4,0,10642,4228,14870,0.0647892,0,40.79,0.0521317,237.806,0.0651513,0,39.7,0.0477408,149.892,74.4316,227.935,-15.64452,15,6,25,6,16,6,26,6,0
308,13,2,1,-1045,0,10642,4228,14870,0.0643231,0,40.7,0.0520335,253.546,0.0656582,0,41,0.0495633,206.708,74.7478,74.8292,-12.211,15,7,25,7,16,7,26,7,0
309,13,2,1,-922.6,0,10642,4228,14870,0.0640071,0,46.063,0.0504164,209.157,0.0659289,0,40,0.0498067,136.325,74.6372,57.6963,-12.913864,15,8,25,8,16,8,26,8,0
310,13,2,1,-800.2,0,10642,4228,14870,0.0645547,0,40.763,0.0506822,239.733,0.0655778,0,40.7,0.0477973,200.986,74.6454,-33.0839,-10.993,15,9,25,9,16,9,26,9,0
311,13,2,1,-677.8,0,10642,4228,14870,0.0646516,0,40.973,0.0510028,282.212,0.0651192,0,40,0.0498841,173.837,74.5218,45.5329,-14.11748,15,10,25,10,16,10,26,10,0
312,13,2,1,-555.4,0,10642,4228,14870,0.0651475,0,41,0.0509107,286.694,0.0662804,0,40,0.048028,220.511,73.8629,-20.3934,-10.058613,15,11,25,11,16,11,26,11,0
