NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff_orig,TAveOff_off,TAveOff_base,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
401,13,2,2,-1901.8,0,15404.8,0.0690792,0,40.79,0.0288709,143.335,0.0685467,0,41.09,0.0288709,217.758,74.6604,-106.681,418.401,0.966126,-14.249,-15.215126,17,0,27,0,18,0,28,0,0
402,13,2,2,-1779.4,0,15404.8,0.0680019,0,41.09,0.0282558,140.577,0.0685863,0,41,0.0282558,193.564,74.219,135.782,418.929,0.528536,-13.721,-14.249536,17,1,27,1,18,1,28,1,0
403,13,2,2,-1657,0,15404.8,0.0685709,0,40,0.0260652,123.344,0.0679133,0,40,0.0260652,273.601,74.6684,-169.207,416.686,0.195059,-15.964,-16.159059,17,2,27,2,18,2,28,2,0
404,13,2,2,-1534.6,0,15404.8,0.0684179,0,40.09,0.0293559,177.656,0.0679871,0,41,0.0293559,153.068,75.8597,-44.4188,422.929,-0.573295,-9.721,-9.147705,17,3,27,3,18,3,28,3,0
405,13,2,2,-1412.2,0,15404.8,0.0682301,0,40.073,0.0292686,176.775,0.0676407,0,40,0.0292686,191.328,74.1416,-261.787,418.063,-0.415823,-14.587,-14.171177,17,4,27,4,18,4,28,4,0
406,13,2,2,-1289.8,0,15404.8,0.0688291,0,44,0.0316182,182.578,0.0676913,0,40.1,0.0316182,120.246,74.8327,3.47335,417.375,-0.799256,-15.275,-14.475744,17,5,27,5,18,5,28,5,0
407,13,2,2,-1167.4,0,15404.8,0.0676754,0,39.79,0.0276228,192.796,0.0682919,0,41.09,0.0276228,230.227,74.7114,-397.296,417.05,-1.33639,-15.6,-14.26361,17,6,27,6,18,6,28,6,0
408,13,2,2,-1045,0,15404.8,0.0674915,0,41.09,0.0290204,165.215,0.0675508,0,41,0.0290204,202.554,74.3222,242.31,416.138,-1.63489,-16.512,-14.87711,17,7,27,7,18,7,28,7,0
409,13,2,2,-922.6,0,15404.8,0.067972,0,41,0.0345072,168.595,0.0679941,0,41,0.0345072,92.8999,74.8732,73.5426,419.22,-1.38199,-13.43,-12.04801,17,8,27,8,18,8,28,8,0
410,13,2,2,-800.2,0,15404.8,0.0677245,0,43.383,0.0311701,133.397,0.0689381,0,35.7,0.0311701,155.397,74.2529,-16.9741,419.926,-1.71947,-12.724,-11.00453,17,9,27,9,18,9,28,9,0
411,13,2,2,-677.8,0,15404.8,0.068804,0,41.7,0.0273794,114.564,0.0676948,0,39.79,0.0273794,192.478,74.8435,199.934,420.296,-2.09646,-12.354,-10.25754,17,10,27,10,18,10,28,10,0
412,13,2,2,-555.4,0,15404.8,0.0693449,0,40.18,0.0271887,135.716,0.0689876,0,40,0.0271887,215.73,74.1737,198.773,419.076,-2.41973,-13.574,-11.15427,17,11,27,11,18,11,28,11,0
413,13,2,2,-433,0,15404.8,0.0687505,0,39.4,0.0254298,275.58,0.0681998,0,40,0.0254298,263.207,74.5346,52.8689,416.783,-2.20158,-15.867,-13.66542,17,12,27,12,18,12,28,12,0
414,13,2,2,-310.6,0,15404.8,0.0677645,0,41.09,0.0262482,157.358,0.0685557,0,41,0.0262482,199.059,74.6157,8.13813,420.411,-2.625,-12.239,-9.614,17,13,27,13,18,13,28,13,0
415,13,2,2,-188.2,0,15404.8,0.0691702,0,40.763,0.0288523,182.244,0.0669512,0,41,0.0288523,214.476,74.6234,162.724,416.791,-2.27463,-15.859,-13.58437,17,14,27,14,18,14,28,14,0
416,13,2,2,-65.8,0,15404.8,0.068665,0,39.973,0.025807,165.764,0.0675688,0,41,0.025807,262.025,74.3801,-695.237,411.563,-2.81471,-21.087,-18.27229,17,31,27,31,18,31,28,16,0
417,13,2,2,56.6,0,15404.8,0.0682839,0,40.973,0.0291462,131.043,0.0668216,0,40.7,0.0291462,204.315,74.5927,-1037.89,416.335,-1.875,-16.315,-14.44,17,17,27,17,18,17,28,17,0
418,13,2,2,179,0,15404.8,0.0687873,0,40.79,0.0283043,248.688,0.0681465,0,41,0.0283043,213.288,74.4092,-735.233,412.652,-2.82134,-19.998,-17.17666,17,18,27,18,18,18,28,18,0
419,13,2,2,301.4,0,15404.8,0.067908,0,41.063,0.0310974,94.696,0.0666164,0,40,0.0310974,147.245,74.4998,-590.703,414.724,-2.09626,-17.926,-15.82974,17,19,27,19,18,19,28,19,0
420,13,2,2,423.8,0,15404.8,0.0680175,0,39.7,0.0325994,108.149,0.067683,0,40,0.0325994,120.881,74.9151,-755.314,415.571,-1.95692,-17.079,-15.12208,17,20,27,20,18,20,28,20,0
421,13,2,2,546.2,0,15404.8,0.0674928,0,40.373,0.0287777,99.8192,0.0664726,0,41,0.0287777,204.193,74.7334,-577.481,416.268,-1.68538,-16.382,-14.69662,17,21,27,21,18,21,28,21,0
422,13,2,2,668.6,0,15404.8,0.0673927,0,41.063,0.0271924,132.739,0.0689422,0,43.09,0.0271924,204.005,75.0141,-408.739,413.788,-1.97809,-18.862,-16.88391,17,22,27,22,18,22,28,22,0
