NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI126,126,8,8,57.62,-35.74,3.44,22.77,1197.84,0.0977,0,1,17,6,6,118
NaI127,127,8,8,57.55,-35.62,-3.45,22.75,1197.33,0.0977,0,1,13,31,8,15
NaI128,128,8,8,57.79,-34.51,-10.29,22.68,1194.3,0.0977,0,1,14,0,8,16
NaI129,129,8,8,57.77,-31.68,-17.21,22.73,1192.59,0.0977,0,1,14,1,8,17
NaI130,130,8,8,57.67,-24.1,-26.62,22.72,1189.45,0.0977,0,1,14,2,8,18
NaI131,131,8,8,57.69,-17.1,-31.65,22.75,1199.72,0.0977,0,1,14,3,8,19
NaI132,132,8,8,58.02,-10.42,-34.74,22.64,1203.01,0.0977,0,1,14,4,8,20
NaI133,133,8,8,57.87,-3.49,-35.93,22.67,1200.81,0.0977,0,1,14,5,8,21
NaI134,134,8,9,46.59,3.46,-31.78,30.23,1198.88,0.0977,0,1,14,6,8,22
NaI135,135,8,9,46.63,10.37,-30.29,30.25,1199.25,0.0977,0,1,14,7,8,23
NaI136,136,8,9,46.35,17.21,-26.58,30.21,1194.62,0.0977,0,1,14,8,8,24
NaI137,137,8,9,50,26.75,-24.07,30.2,1193.43,0.0977,0,1,14,9,8,25
NaI138,138,8,9,46.28,26.57,-17.2,30.27,1200.72,0.0977,0,1,14,10,8,26
NaI139,139,8,9,46.49,30.19,-10.32,30.29,1199.95,0.0977,0,1,14,11,8,27
NaI140,140,8,9,46.56,31.66,-3.5,30.16,1193.99,0.0977,0,1,14,12,8,28
NaI141,141,8,9,46.54,31.69,3.5,30.21,1193.49,0.0977,0,1,14,13,8,29
NaI142,142,8,9,46.49,30.13,10.37,30.25,1203.25,0.0977,0,1,14,14,8,30
NaI143,143,8,9,46.38,26.58,17.28,30.21,1195.54,0.0977,0,1,14,15,8,31
NaI144,144,8,9,49.9,26.7,24.04,30.26,1195.09,0.0977,0,1,14,16,8,32
NaI145,145,8,9,46.39,17.27,26.69,30.29,1194.54,0.0977,0,1,14,17,8,33
NaI146,146,8,9,46.6,10.35,30.27,30.25,1199.42,0.0977,0,1,14,18,8,34
NaI147,147,8,9,46.49,3.43,31.69,30.26,1198.11,0.0977,0,1,14,19,8,35
NaI148,148,8,9,46.58,-3.49,31.74,30.21,1194.04,0.0977,0,1,14,20,8,36
NaI149,149,8,9,46.55,-10.38,30.17,30.22,1200.48,0.0977,0,1,14,21,8,37
NaI150,150,8,9,46.47,-17.18,26.77,30.22,1200.98,0.0977,0,1,14,22,8,38
NaI151,151,8,9,49.84,-26.58,24.07,30.26,1193.71,0.0977,0,1,14,23,8,39
NaI152,152,8,9,46.42,-26.63,17.33,30.23,1196.15,0.0977,0,1,14,24,8,40
NaI153,153,8,9,46.48,-30.13,10.35,30.26,1197.69,0.0977,0,1,14,25,8,41
NaI154,154,8,9,46.53,-31.67,3.47,30.2,1198.37,0.0977,0,1,17,7,6,119
NaI155,155,8,9,46.64,-31.79,-3.51,30.2,1202.72,0.0977,0,1,14,27,8,43
NaI156,156,8,9,46.6,-30.28,-10.35,30.26,1200.33,0.0977,0,1,14,28,8,44
NaI157,157,8,9,46.41,-26.66,-17.22,30.22,1202.02,0.0977,0,1,14,29,8,45
NaI158,158,8,9,49.89,-26.7,-24.1,30.29,1193.39,0.0977,0,1,17,8,8,112
NaI159,159,8,9,46.36,-17.15,-26.59,30.18,1204.43,0.0977,0,1,14,31,8,47
NaI160,160,8,9,46.73,-10.42,-30.3,30.16,1191.71,0.0977,0,1,15,0,8,48
NaI161,161,8,9,46.61,-3.46,-31.81,30.25,1195.4,0.0977,0,1,15,1,8,49
NaI162,162,8,10,38.64,19.14,-25.9,40.29,1112.94,0.0977,0,1,15,2,8,50
NaI163,163,8,10,38.69,25.93,-19.16,40.25,1190.7,0.0977,0,1,15,3,8,51
NaI164,164,8,10,38.79,25.86,19.14,40.03,1194.43,0.0977,0,1,15,4,8,52
NaI165,165,8,10,38.53,19.08,25.9,40.4,1189.3,0.0977,0,1,15,5,8,53
NaI166,166,8,10,38.8,-19.13,25.94,40.09,1112.27,0.0977,0,1,15,6,8,54
NaI167,167,8,10,38.68,-25.96,19.09,40.25,1190.69,0.0977,0,1,15,7,8,55
NaI168,168,8,10,38.74,-25.94,-19.13,40.18,1195.9,0.0977,0,1,15,8,8,56
NaI169,169,8,10,38.73,-19.11,-25.88,40.11,1190,0.0977,0,1,15,9,8,57
NaI170,170,8,10,34.53,4.47,-27.22,40.08,1205.22,0.0977,0,1,15,10,8,58
NaI171,171,8,10,36.14,12.37,-26.1,39.55,1193.45,0.0977,0,1,15,11,8,59
