NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI81,81,8,6,78.24,-37.26,-4.37,7.81,975.86,0.0977,-297.33,3.396,12,17,6,115
NaI82,82,8,6,78.27,-35.23,-12.97,7.8,990.08,0.0977,-419.06,3.316,12,18,6,82
NaI83,83,8,6,78.3,-30.89,-21.51,7.8,990.81,0.0977,-346.465,3.187,12,19,6,83
NaI84,84,8,6,78.21,-22.12,-30.17,7.81,987.22,0.0977,-307.993,3.524,12,20,6,84
NaI85,85,8,6,78.86,-7.84,-38.98,7.83,991.86,0.0977,-249.43,3.135,12,21,6,85
NaI86,86,8,7,70.93,7.74,-38.99,13.75,988.19,0.0977,-309.113,3.196,12,22,6,86
NaI87,87,8,7,69.78,21.96,-30.15,13.74,989.48,0.0977,-284.236,3.37,12,23,6,87
NaI88,88,8,7,69.84,30.64,-21.51,13.74,990.31,0.0977,-435.644,3.266,12,24,6,88
NaI89,89,8,7,69.93,35.14,-12.99,13.69,989.26,0.0977,-351.816,3.435,12,25,6,89
NaI90,90,8,7,69.84,37.11,-4.37,13.72,989.57,0.0977,-463.951,3.412,12,26,6,90
NaI91,91,8,7,69.84,37.12,4.3,13.72,990.06,0.0977,-339.978,3.249,12,27,6,91
NaI92,92,8,7,69.88,35.04,12.92,13.68,990.4,0.0977,-291.15,3.094,12,28,6,92
NaI93,93,8,7,69.88,30.64,21.55,13.72,991.71,0.0977,-218.928,3.069,12,29,6,93
NaI94,94,8,7,69.81,21.93,30.21,13.73,990.68,0.0977,-296.255,3.167,12,30,6,94
NaI95,95,8,7,70.9,7.85,38.97,13.76,992.25,0.0977,-420.834,3.362,12,31,6,95
NaI96,96,8,7,70.9,-7.8,38.97,13.76,988.27,0.0977,-362.815,3.253,13,0,6,96
NaI97,97,8,7,69.79,-22,30.18,13.75,988.58,0.0977,-332.142,3.252,13,1,6,97
NaI98,98,8,7,69.89,-30.68,21.55,13.73,988.71,0.0977,-280.722,3.132,13,2,6,98
NaI99,99,8,7,69.85,-35.14,12.95,13.74,985.94,0.0977,-332.003,3.414,13,3,6,99
NaI100,100,8,7,69.83,-37.16,4.34,13.74,986.95,0.0977,-294.915,3.46,13,4,6,100
NaI101,101,8,7,69.88,-37.18,-4.33,13.71,990.88,0.0977,-285.068,3.174,13,5,6,101
NaI102,102,8,7,69.92,-35.21,-12.96,13.72,986.91,0.0977,-280.205,3.266,13,6,6,102
NaI103,103,8,7,69.91,-30.67,-21.57,13.71,988.25,0.0977,-350.623,3.316,13,7,6,103
NaI104,104,8,7,69.78,-22.03,-30.12,13.74,988.93,0.0977,-207.935,3.153,13,8,6,104
NaI105,105,8,7,70.89,-7.88,-38.98,13.78,988.74,0.0977,-343.974,3.335,13,9,6,105
NaI106,106,8,8,59.89,3.42,-35.14,20.47,978.78,0.0977,-313.018,3.105,13,10,6,106
NaI107,107,8,8,59.96,10.23,-33.98,20.52,977.86,0.0977,-316.595,3.046,13,11,6,107
NaI108,108,8,8,59.86,17.05,-31.04,20.56,977.89,0.0977,-299.241,3.234,13,12,6,108
NaI109,109,8,8,59.78,23.89,-25.98,20.56,969.86,0.0977,-443.36,3.654,13,13,6,109
NaI110,110,8,8,59.83,30.97,-17.07,20.56,0,0.0977,0,0,13,14,6,110
NaI111,111,8,8,59.76,33.78,-10.24,20.58,0,0.0977,0,0,13,15,6,111
NaI112,112,8,8,59.68,34.96,-3.42,20.54,976.99,0.0977,-405.269,3.446,13,16,8,0
NaI113,113,8,8,59.78,35.03,3.46,20.5,972.79,0.0977,-433.923,3.58,13,17,8,1
NaI114,114,8,8,59.84,33.86,10.2,20.55,977.89,0.0977,-381.168,3.361,13,18,8,2
NaI115,115,8,8,59.82,30.97,17.11,20.58,975.31,0.0977,-526.336,3.538,13,19,8,3
NaI116,116,8,8,59.7,23.9,25.99,20.63,969.84,0.0977,-411.534,3.623,13,20,8,4
NaI117,117,8,8,59.88,17.08,31.01,20.54,977.62,0.0977,-352.413,3.162,13,21,8,5
NaI118,118,8,8,59.97,10.26,33.96,20.51,985.28,0.0977,-308.867,3.332,13,22,8,6
NaI119,119,8,8,59.83,3.4,35.09,20.5,981.78,0.0977,-417.016,3.495,13,23,8,7
NaI120,120,8,8,59.9,-3.46,35.16,20.48,982.38,0.0977,-373.134,3.128,13,24,8,8
NaI121,121,8,8,59.97,-10.26,33.98,20.52,983.46,0.0977,-330.451,3.244,13,25,8,9
NaI122,122,8,8,59.92,-17.02,31.06,20.52,980.68,0.0977,-336.205,3.266,13,26,8,10
NaI123,123,8,8,59.71,-23.89,25.91,20.59,968.46,0.0977,-431.166,3.615,13,27,8,11
NaI124,124,8,8,59.79,-30.98,17.06,20.59,974,0.0977,-439.844,3.393,13,28,8,12
NaI125,125,8,8,59.75,-33.78,10.18,20.58,974.99,0.0977,-336.912,3.333,13,29,8,13
NaI126,126,8,8,59.77,-35.02,3.44,20.51,964.14,0.0977,-270.094,3.406,17,6,6,118
NaI127,127,8,8,59.79,-35.02,-3.46,20.48,977.43,0.0977,-417.732,3.641,13,31,8,15
NaI128,128,8,8,59.8,-33.79,-10.25,20.55,0,0.0977,0,0,14,0,8,16
NaI129,129,8,8,59.83,-31.02,-17.04,20.57,0,0.0977,0,0,14,1,8,17
NaI130,130,8,8,59.73,-23.89,-25.94,20.58,972.75,0.0977,-256.92,3.318,14,2,8,18
NaI131,131,8,8,59.84,-17.05,-30.99,20.55,982.22,0.0977,-288.328,3.145,14,3,8,19
NaI132,132,8,8,59.88,-10.24,-33.91,20.55,976.11,0.0977,-287.033,3.052,14,4,8,20
NaI133,133,8,8,59.82,-3.47,-35.06,20.49,985.31,0.0977,-260.77,3.308,14,5,8,21
NaI134,134,8,9,47.84,3.41,-30.67,27.94,982.98,0.0977,-317.996,3.179,14,6,8,22
NaI135,135,8,9,47.83,10.21,-29.13,27.96,977.35,0.0977,-300.055,3.067,14,7,8,23
NaI136,136,8,9,47.66,17.02,-25.58,28,978.32,0.0977,-291.511,3,14,8,8,24
NaI137,137,8,9,51.59,25.96,-23.92,27.99,984.33,0.0977,-207.56,3.27,14,9,8,25
NaI138,138,8,9,47.76,25.67,-17.04,27.97,980.22,0.0977,-277.39,2.954,14,10,8,26
NaI139,139,8,9,47.81,29.1,-10.21,27.96,976.45,0.0977,-319.782,3.468,14,11,8,27
NaI140,140,8,9,47.86,30.7,-3.42,27.96,975.69,0.0977,-258.515,2.874,14,12,8,28
NaI141,141,8,9,47.87,30.67,3.44,27.92,975.19,0.0977,-321.359,2.953,14,13,8,29
NaI142,142,8,9,47.89,29.16,10.25,27.94,977.75,0.0977,-394.129,3.367,14,14,8,30
NaI143,143,8,9,47.72,25.63,17.01,27.97,976.44,0.0977,-326.254,3.667,14,15,8,31
NaI144,144,8,9,51.64,25.92,23.95,27.93,982.19,0.0977,-321.063,3.92,14,16,8,32
NaI145,145,8,9,47.75,17.02,25.65,27.96,976.24,0.0977,-211.055,2.901,14,17,8,33
NaI146,146,8,9,47.79,10.2,29.11,27.98,976.52,0.0977,-233.543,3.153,14,18,8,34
NaI147,147,8,9,47.86,3.42,30.69,27.94,976.81,0.0977,-291.292,3.047,14,19,8,35
NaI148,148,8,9,47.9,-3.39,30.71,27.92,979.74,0.0977,-231.168,3.026,14,20,8,36
NaI149,149,8,9,47.91,-10.21,29.21,27.95,978.78,0.0977,-282.095,3.084,14,21,8,37
NaI150,150,8,9,47.76,-17.02,25.66,27.96,982.68,0.0977,-337.314,3.035,14,22,8,38
NaI151,151,8,9,51.61,-25.9,23.92,27.93,985.41,0.0977,-222.013,2.997,14,23,8,39
NaI152,152,8,9,47.77,-25.65,17.05,27.96,977.45,0.0977,-277.819,3.002,14,24,8,40
NaI153,153,8,9,47.85,-29.13,10.24,27.94,975.39,0.0977,-273.755,2.74,14,25,8,41
NaI154,154,8,9,47.88,-30.68,3.43,27.92,959.67,0.0977,-339.091,3.194,17,7,6,119
NaI155,155,8,9,47.95,-30.75,-3.47,27.92,976.22,0.0977,-250.549,3.273,14,27,8,43
NaI156,156,8,9,47.87,-29.16,-10.23,27.96,977.23,0.0977,-237.205,2.752,14,28,8,44
NaI157,157,8,9,47.82,-25.75,-17.03,27.97,986.52,0.0977,-287.104,3.15,14,29,8,45
NaI158,158,8,9,51.63,-25.99,-23.91,27.97,948.49,0.0977,-256.459,3.753,17,8,8,112
NaI159,159,8,9,47.82,-17.03,-25.72,27.95,981.93,0.0977,-277.146,3.025,14,31,8,47
NaI160,160,8,9,47.85,-10.24,-29.14,27.96,974.81,0.0977,-248.525,2.731,15,0,8,48
NaI161,161,8,9,47.86,-3.41,-30.66,27.91,980.3,0.0977,-291.148,2.951,15,1,8,49
NaI162,162,8,10,39.57,18.93,-25.76,38.69,973.64,0.0977,-403.194,3.157,15,2,8,50
NaI163,163,8,10,39.61,25.75,-18.94,38.63,973.2,0.0977,-370.282,3.326,15,3,8,51
NaI164,164,8,10,39.6,25.72,18.94,38.61,978.13,0.0977,-388.868,3.44,15,4,8,52
NaI165,165,8,10,39.62,18.93,25.76,38.61,972.4,0.0977,-386.444,3.251,15,5,8,53
NaI166,166,8,10,39.59,-18.93,25.76,38.65,975.37,0.0977,-431.226,3.362,15,6,8,54
NaI167,167,8,10,39.54,-25.76,18.94,38.73,978.99,0.0977,-417.826,3.317,15,7,8,55
NaI168,168,8,10,39.57,-25.74,-18.91,38.65,973.8,0.0977,-468.285,3.576,15,8,8,56
NaI169,169,8,10,39.61,-18.9,-25.79,38.63,969.5,0.0977,-331.499,3.618,15,9,8,57
NaI170,170,8,10,34.69,4.28,-26.97,39.45,988.92,0.0977,-308.186,3.25,15,10,8,58
NaI171,171,8,10,36.76,12.07,-25.79,38.11,982.15,0.0977,-317.468,2.965,15,11,8,59
NaI172,172,8,10,35.05,18.91,-18.91,38.12,982.24,0.0977,-369.199,2.887,15,12,8,60
NaI173,173,8,10,36.76,25.79,-12.04,38.1,982.8,0.0977,-391.716,3.356,15,13,8,61
NaI174,174,8,10,34.84,26.99,-4.35,39.27,989.93,0.0977,-401.373,3.13,15,14,8,62
NaI175,175,8,10,34.8,26.98,4.33,39.32,990.3,0.0977,-305.178,3.172,15,15,8,63
NaI176,176,8,10,36.72,25.8,12.04,38.17,983.7,0.0977,-429.674,3.327,15,16,8,64
NaI177,177,8,10,35,18.89,18.93,38.18,973.61,0.0977,-358.404,3.423,15,17,8,65
NaI178,178,8,10,36.78,12.07,25.81,38.11,976.87,0.0977,-275.952,3.216,15,18,8,66
NaI179,179,8,10,34.86,4.3,26.99,39.23,988.14,0.0977,-367.599,3.137,15,19,8,67
NaI180,180,8,10,34.92,-4.35,27,39.18,990.58,0.0977,-351.321,3.187,15,20,8,68
NaI181,181,8,10,36.76,-12.08,25.79,38.12,984.72,0.0977,-556.322,5.181,15,21,8,69
NaI182,182,8,10,34.99,-18.9,18.87,38.15,980.02,0.0977,-344.333,3.36,15,22,8,70
NaI183,183,8,10,36.73,-25.8,12.05,38.15,976.83,0.0977,-343.066,3.093,15,23,8,71
NaI184,184,8,10,34.91,-27,4.35,39.19,988.81,0.0977,-326.663,3.201,15,24,8,72
NaI185,185,8,10,34.83,-26.98,-4.32,39.27,987.64,0.0977,-390.163,3.208,15,25,8,73
NaI186,186,8,10,36.67,-25.8,-12.07,38.25,984.34,0.0977,-381.679,3.267,15,26,8,74
NaI187,187,8,10,35.04,-18.91,-18.89,38.11,979.89,0.0977,-384.542,3.017,15,27,8,75
NaI188,188,8,10,36.67,-12.06,-25.78,38.21,979.09,0.0977,-281.997,2.952,15,28,8,76
NaI189,189,8,10,34.79,-4.37,-26.98,39.33,988.06,0.0977,-372.878,3.024,15,29,8,77
NaI190,190,8,10,29.59,4.3,-21.68,38.93,968.35,0.0977,-264.169,3.173,17,9,8,113
