NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,DALI
NaI186,210,8,10,36.07,-26.11,-12.2,39.57,1101.329,0.0977,-383.6910445309,3.6968445277,15,26,8,74,74
NaI187,211,8,10,34.59,-19.25,-19.16,39.38,1096.302,0.0977,-372.2909770759,3.5250728083,15,27,8,75,75
NaI188,212,8,10,36.04,-12.31,-26.12,39.69,1096.504,0.0977,-440.226369934,3.6902796455,15,28,8,76,76
NaI189,213,8,10,34.43,-4.4,-27.2,40.19,1110.582,0.0977,-412.7131315925,4.3672714189,15,29,8,77,77
NaI190,214,8,10,29.21,4.43,-21.91,39.97,1092.859,0.0977,-306.9404995352,3.6349819694,17,13,6,117,117
NaI191,215,8,10,29.91,12.23,-19.23,39.62,1080.597,0.0977,-237.226171677,3.4529518679,17,8,6,112,112
NaI192,216,8,10,30.09,19.27,-12.26,39.42,1090.043,0.0977,-296.7075477499,3.4777573778,16,0,8,80,80
NaI193,217,8,10,29.14,21.92,-4.51,40.14,1101.269,0.0977,-355.5242313451,3.7477152648,16,1,8,81,81
NaI194,218,8,10,29.12,21.92,4.47,40.17,1100.199,0.0977,-329.6599592485,3.7415292943,16,2,8,82,82
NaI195,219,8,10,30.09,19.25,12.25,39.37,1088.186,0.0977,-272.9570662882,3.6831798444,16,3,8,83,83
NaI196,220,8,10,29.98,12.28,19.17,39.46,1087.673,0.0977,-370.8180813607,3.7698096517,16,4,8,84,84
NaI197,221,8,10,29.25,4.48,21.94,39.99,1101.425,0.0977,-205.0530213812,3.63144748,16,5,8,85,85
NaI198,222,8,10,29.22,-4.55,21.96,40.1,1102.015,0.0977,-280.3460301806,3.6339853036,16,6,8,86,86
NaI199,223,8,10,30.01,-12.28,19.23,39.51,1082.294,0.0977,-273.0657295351,3.768565949,17,12,6,116,116
NaI200,224,8,10,30.05,-19.16,12.3,39.35,1089.35,0.0977,-217.0950957638,3.5570620225,16,8,8,88,88
NaI201,225,8,10,29.27,-21.99,4.37,40.01,1102.441,0.0977,-313.3035146302,3.5835756631,16,9,8,89,89
NaI202,226,8,10,29.06,-21.96,-4.45,40.32,1099.919,0.0977,-364.5116022196,3.7707141319,16,10,8,90,90
NaI203,227,8,10,29.95,-19.22,-12.23,39.53,1092.862,0.0977,-234.442334945,3.5633674157,16,11,8,91,91
NaI204,204,8,10,30.13,-12.29,-19.24,39.33,1094.48,0.0977,-421.2295945131,3.8219381215,16,12,8,92,92
NaI205,205,8,10,29.22,-4.43,-21.99,40.11,1101.102,0.0977,-331.3522001776,3.4918720947,16,13,8,93,93
NaI206,206,8,10,23.35,4.41,-16.67,39.96,1099.607,0.0977,-280.2086312592,3.809303188,16,14,8,94,94
NaI207,207,8,10,23.68,12.27,-12.25,39.53,1090.372,0.0977,-353.2454612141,4.0976176843,16,15,8,95,95
NaI208,208,8,10,23.34,16.68,-4.47,40.03,1091.783,0.0977,-362.1982417663,3.3357586946,16,16,8,96,96
NaI209,209,8,10,23.39,16.65,4.48,39.88,1089.958,0.0977,-356.5554398108,3.5602802027,16,17,8,97,97
NaI210,210,8,10,23.68,12.24,12.31,39.57,1077.067,0.0977,-314.2513805476,3.4317083407,16,18,8,98,98
NaI211,211,8,10,23.25,4.43,16.65,40.09,1087.686,0.0977,-370.5090610313,3.9109852085,16,19,8,99,99
NaI212,212,8,10,23.33,-4.45,16.62,39.89,1088.588,0.0977,-410.2590455312,3.7988858954,16,20,8,100,100
NaI213,213,8,10,23.74,-12.25,12.25,39.4,1079.258,0.0977,-304.4878385434,3.450059799,16,21,8,101,101
NaI214,214,8,10,23.34,-16.6,4.46,39.84,1092.8,0.0977,-365.6507151767,3.5620723796,16,22,8,102,102
NaI215,215,8,10,23.38,-16.65,-4.47,39.89,1091.909,0.0977,-439.013909583,3.6143530773,16,23,8,103,103
NaI216,216,8,10,23.73,-12.3,-12.21,39.43,1077.138,0.0977,-339.4697146152,3.7182446443,17,4,6,121,121
NaI217,217,8,10,23.32,-4.43,-16.66,39.99,1093.887,0.0977,-352.036012745,3.4472704076,16,25,8,105,105
NaI218,218,8,10,16.63,4.44,-11.26,40.52,1091.702,0.0977,-378.4659090903,3.7082289693,16,26,8,106,106
