NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch,dxcorr_factor
BDC1_6_3,13,6,27,Y,3,20,12,0,27,2,99,1.38999
BDC1_6_4,13,6,27,Y,4,15,12,0,27,2,100,1.38999
BDC1_6_5,13,6,27,Y,5,10,12,0,27,2,101,1.38999
BDC1_6_6,13,6,27,Y,6,5,12,0,27,2,102,1.38999
BDC1_6_7,13,6,27,Y,7,0,12,0,27,2,103,1.38999
BDC1_6_8,13,6,27,Y,8,-5,12,0,27,2,104,1.38999
BDC1_6_9,13,6,27,Y,9,-10,12,0,27,2,105,1.38999
BDC1_6_10,13,6,27,Y,10,-15,12,0,27,2,106,1.38999
BDC1_6_11,13,6,27,Y,11,-20,12,0,27,2,107,1.38999
BDC1_6_12,13,6,27,Y,12,-25,12,0,27,2,108,1.38999
BDC1_6_13,13,6,27,Y,13,-30,12,0,27,2,109,1.38999
BDC1_6_14,13,6,27,Y,14,-35,12,0,27,2,110,1.38999
BDC1_6_15,13,6,27,Y,15,-40,12,0,27,2,111,1.38999
BDC1_7_0,13,7,28,Y,0,37.5,16.8,0,27,2,127,9.32E-01
BDC1_7_1,13,7,28,Y,1,32.5,16.8,0,27,2,126,9.32E-01
BDC1_7_2,13,7,28,Y,2,27.5,16.8,0,27,2,125,9.32E-01
BDC1_7_3,13,7,28,Y,3,22.5,16.8,0,27,2,124,9.32E-01
BDC1_7_4,13,7,28,Y,4,17.5,16.8,0,27,2,123,9.32E-01
BDC1_7_5,13,7,28,Y,5,12.5,16.8,0,27,2,122,9.32E-01
BDC1_7_6,13,7,28,Y,6,7.5,16.8,0,27,2,121,9.32E-01
BDC1_7_7,13,7,28,Y,7,2.5,16.8,0,27,2,120,9.32E-01
BDC1_7_8,13,7,28,Y,8,-2.5,16.8,0,27,2,119,9.32E-01
BDC1_7_9,13,7,28,Y,9,-7.5,16.8,0,27,2,118,9.32E-01
BDC1_7_10,13,7,28,Y,10,-12.5,16.8,0,27,2,117,9.32E-01
BDC1_7_11,13,7,28,Y,11,-17.5,16.8,0,27,2,116,9.32E-01
BDC1_7_12,13,7,28,Y,12,-22.5,16.8,0,27,2,115,9.32E-01
BDC1_7_13,13,7,28,Y,13,-27.5,16.8,0,27,2,114,9.32E-01
BDC1_7_14,13,7,28,Y,14,-32.5,16.8,0,27,2,113,9.32E-01
BDC1_7_15,13,7,28,Y,15,-37.5,16.8,0,27,2,112,9.32E-01
