NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI124,124,8,8,59.79,-30.98,17.06,20.59,1000,0.0977,0,1,8,28,21,12
NaI125,125,8,8,59.74,-33.78,10.18,20.58,1000,0.0977,0,1,8,29,21,13
NaI126,126,8,8,59.76,-35.02,3.44,20.51,1000,0.0977,0,1,12,6,20,6
NaI127,127,8,8,59.8,-35.02,-3.46,20.48,1000,0.0977,0,1,8,31,21,15
NaI128,128,8,8,59.8,-33.79,-10.25,20.55,1000,0.0977,0,1,9,0,21,16
NaI129,129,8,8,59.83,-31.02,-17.04,20.57,1000,0.0977,0,1,9,1,21,17
NaI130,130,8,8,59.73,-23.89,-25.94,20.58,1000,0.0977,0,1,9,2,21,18
NaI131,131,8,8,59.84,-17.05,-30.99,20.55,1000,0.0977,0,1,9,3,21,19
NaI132,132,8,8,56.26,-10.46,-34.31,23.96,1015.61,0.0977,-378.716604,3.382912,9,4,21,20
NaI133,133,8,8,56.32,-3.31,-35.56,23.8,1023.4,0.0977,-332.440848,3.657743,9,5,21,21
NaI134,134,8,9,44.95,3.44,-31.22,31.46,1021.78,0.0977,-380.376,3.435,9,6,21,22
NaI135,135,8,9,44.53,10.25,-29.44,31.69,1015.9,0.0977,-234.993608,3.14496,9,7,21,23
NaI136,136,8,9,44.65,17.09,-25.94,31.45,1016.17,0.0977,-326.633912,3.224079,9,8,21,24
NaI137,137,8,9,47.93,25.2,-24.08,31.46,1014.59,0.0977,-282.96469,2.975685,9,9,21,25
NaI138,138,8,9,43.84,25.31,-17.08,31.8,1018.08,0.0977,-306.852716,3.123234,9,10,21,26
NaI139,139,8,9,44.22,29.07,-10.23,31.67,1014.72,0.0977,-231.676905,3.323535,9,11,21,27
NaI140,140,8,9,44.95,31.25,-3.34,31.48,1013.22,0.0977,-414.44889,3.169648,9,12,21,28
NaI141,141,8,9,44.83,31.19,3.46,31.57,1012.98,0.0977,-349.342664,3.066684,9,13,21,29
NaI142,142,8,9,44.99,29.64,10.37,31.41,1015.09,0.0977,-327.137449,3.563636,9,14,21,30
NaI143,143,8,9,44.8,26.2,16.98,31.44,1015.73,0.0977,-232.011795,3.327555,9,15,21,31
NaI144,144,8,9,48.38,26.11,23.99,31.5,1009.43,0.0977,-364.452706,3.72138,9,16,21,32
NaI145,145,8,9,44.31,17.12,25.61,31.56,1014.52,0.0977,-227.535765,3.001935,9,17,21,33
NaI146,146,8,9,44.78,10.37,29.61,31.62,1015.02,0.0977,-374.987784,3.221554,9,18,21,34
NaI147,147,8,9,45.02,3.44,31.24,31.41,1014.96,0.0977,-309.55059,3.16776,9,19,21,35
NaI148,148,8,9,44.84,-3.51,31.21,31.58,1017.96,0.0977,-212.899688,3.093714,9,20,21,36
NaI149,149,8,9,44.64,-10.39,29.37,31.55,1017.19,0.0977,-189.225872,3.05308,9,21,21,37
NaI150,150,8,9,44.9,-17.18,26.2,31.44,1017.1,0.0977,-239.834864,2.801386,9,22,21,38
NaI151,151,8,9,48.51,-26.56,24.04,31.68,1012.53,0.0977,-247.397456,3.035078,9,23,21,39
NaI152,152,8,9,44.71,-26.19,17.14,31.62,1015.79,0.0977,-370.456,3.127,9,24,21,40
NaI153,153,8,9,44.91,-29.63,10.31,31.47,1014.39,0.0977,-275.534832,2.903568,9,25,21,41
NaI154,154,8,9,44.74,-31,3.42,31.47,993.599,0.0977,-383.124128,3.51597,12,7,20,7
NaI155,155,8,9,44.8,-31.01,-3.36,31.41,1016.66,0.0977,-331.389106,3.469694,9,27,21,43
NaI156,156,8,9,44.7,-29.44,-10.18,31.48,1015.4,0.0977,-264.556144,2.863716,9,28,21,44
NaI157,157,8,9,44.68,-26.06,-17.18,31.56,1016.97,0.0977,-234.37751,3.124242,9,29,21,45
NaI158,158,8,9,48.41,-26.19,-24.05,31.56,983.486,0.0977,-441.744656,3.657024,12,8,20,8
NaI159,159,8,9,44.71,-17.09,-26.1,31.52,1020.91,0.0977,-343.993493,3.140393,9,31,21,47
NaI160,160,8,9,44.69,-10.32,-29.34,31.44,1012.69,0.0977,-274.81307,2.7939,10,0,21,48
NaI161,161,8,9,45,-3.42,-31.26,31.45,1019.06,0.0977,-355.149688,3.493728,10,1,21,49
NaI162,162,8,10,37.41,18.97,-25.97,42.05,1011.12,0.0977,-290.325525,3.155392,10,2,21,50
NaI163,163,8,10,37.19,25.84,-18.66,42.01,1014.04,0.0977,-406.437184,4.04238,10,3,21,51
NaI164,164,8,10,37.4,25.75,19.01,41.87,1009.24,0.0977,-333.696828,3.263733,10,4,21,52
NaI165,165,8,10,37.52,19.19,25.9,41.98,1011.51,0.0977,-362.321253,4.156767,10,5,21,53
NaI166,166,8,10,37.11,-19.02,25.63,42.19,1010.84,0.0977,-315.847725,3.3462,10,6,21,54
NaI167,167,8,10,37.47,-25.81,19.25,42.01,1007.97,0.0977,-399.178474,4.004949,10,7,21,55
NaI168,168,8,10,37.5,-25.91,-18.98,41.85,1011.89,0.0977,-294.494052,3.689304,10,8,21,56
NaI169,169,8,10,37.64,-19.13,-26.06,41.92,1006.68,0.0977,-357.350448,3.113374,10,9,21,57
NaI170,170,8,10,33.13,4.55,-27.04,42.01,1026.81,0.0977,-338.247268,3.345186,10,10,21,58
NaI171,171,8,10,34.56,12.18,-26.02,41.71,1019.21,0.0977,-353.601628,3.239166,10,11,21,59
NaI172,172,8,10,33.48,19.17,-19.23,41.05,1018.66,0.0977,-284.572605,2.943252,10,12,21,60
