NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI139,139,8,9,47.81,29.1,-10.21,27.96,1199.95,0.0977,-231.676905,3.323535,9,11,21,27,,,,,,,,
NaI140,140,8,9,47.86,30.7,-3.42,27.96,1193.99,0.0977,-414.44889,3.169648,9,12,21,28,,,,,,,,
NaI141,141,8,9,47.87,30.67,3.44,27.92,1193.49,0.0977,-349.342664,3.066684,9,13,21,29,,,,,,,,
NaI142,142,8,9,47.89,29.16,10.25,27.94,1203.25,0.0977,-327.137449,3.563636,9,14,21,30,,,,,,,,
NaI143,143,8,9,47.72,25.63,17.01,27.97,1195.54,0.0977,-232.011795,3.327555,9,15,21,31,,,,,,,,
NaI144,144,8,9,51.64,25.92,23.95,27.93,1195.09,0.0977,-364.452706,3.72138,9,16,21,32,,,,,,,,
NaI145,145,8,9,47.75,17.02,25.65,27.96,1194.54,0.0977,-227.535765,3.001935,9,17,21,33,,,,,,,,
NaI146,146,8,9,47.79,10.2,29.11,27.98,1199.42,0.0977,-374.987784,3.221554,9,18,21,34,,,,,,,,
NaI147,147,8,9,47.86,3.42,30.69,27.94,1198.11,0.0977,-309.55059,3.16776,9,19,21,35,,,,,,,,
NaI148,148,8,9,47.9,-3.39,30.71,27.92,1194.04,0.0977,-212.899688,3.093714,9,20,21,36,,,,,,,,
NaI149,149,8,9,47.91,-10.21,29.21,27.95,1200.48,0.0977,-189.225872,3.05308,9,21,21,37,,,,,,,,
NaI150,150,8,9,47.76,-17.02,25.66,27.96,1200.98,0.0977,-239.834864,2.801386,9,22,21,38,,,,,,,,
NaI151,151,8,9,51.61,-25.9,23.92,27.93,1193.71,0.0977,-247.397456,3.035078,9,23,21,39,,,,,,,,
NaI152,152,8,9,47.77,-25.65,17.05,27.96,1196.15,0.0977,-370.456,3.127,9,24,21,40,,,,,,,,
NaI153,153,8,9,47.85,-29.13,10.24,27.94,1197.69,0.0977,-275.534832,2.903568,9,25,21,41,,,,,,,,
NaI154,154,8,9,47.88,-30.68,3.43,27.92,1198.37,0.0977,-383.124128,3.51597,12,7,20,7,,,,,,,,
NaI155,155,8,9,47.95,-30.75,-3.47,27.92,1202.72,0.0977,-331.389106,3.469694,9,27,21,43,,,,,,,,
